123,00 00 1A 00 05 10 04,,Lotus 1-2-3 spreadsheet (v9) file
3gg 3gp,00 00 00 14 66 74 79 70 33 67 70,,3rd Generation Partnership Project 3GPP (nn=0x14) and 3GPP2 (nn=0x20) multimedia files
3g2,00 00 00 20 66 74 79 70 33 67 70,,3rd Generation Partnership Project 3GPP (nn=0x14) and 3GPP2 (nn=0x20) multimedia files
7z,37 7A BC AF 27 1C,,7-ZIP compressed file
avi,41 56 49 20,,Audio Video Interleave (AVI)
krc,6b 72 63 31 38,,Kugou Lyrics File
wmv,30 26 B2 75 8E 66 CF 11 A6 D9 00 AA 00 62 CE 6C,,Microsoft Windows Media Audio/Video File(Advanced   Streaming Format)
xls,[512]09 08 10 00 00 06 05 00,,Excel spreadsheet subheader (MS Office)
zip; jar; zipx,50 4B 03 04,,ZIP Archive
zip,50 4B 30 30,,ZIP Archive (outdated)
Zip,50 4B 30 30 50 4B 03 04,WINZIP Compressed
